Vehicle_ID,Lane,Frame,Timestamp_sec
293,1,1716,57.2
294,1,1743,58.1
297,1,1759,58.63
298,1,1766,58.87
299,1,1776,59.2
300,1,1793,59.77
302,1,1801,60.03
303,1,1802,60.07
305,1,1813,60.43
308,1,1847,61.57
309,1,1850,61.67
307,1,1850,61.67
310,1,1852,61.73
311,1,1853,61.77
312,1,1855,61.83
314,1,1891,63.03
315,1,1893,63.1
316,1,1894,63.13
317,1,1908,63.6
318,1,1915,63.83
319,1,1919,63.97
320,1,1924,64.13
322,1,1931,64.37
323,1,1939,64.63
325,1,1960,65.33
324,1,1961,65.37
326,1,1963,65.43
327,1,1969,65.63
328,1,1976,65.87
330,1,1984,66.13
331,1,1987,66.23
332,1,1988,66.27
336,1,2011,67.03
334,1,2017,67.23
338,1,2035,67.83
340,1,2044,68.13
341,1,2046,68.2
343,1,2051,68.37
339,1,2062,68.73
344,1,2070,69.0
345,1,2079,69.3
346,1,2082,69.4
348,1,2086,69.53
347,1,2086,69.53
349,1,2102,70.07
350,1,2103,70.1
351,1,2122,70.73
353,1,2134,71.13
354,1,2169,72.3
356,1,2178,72.6
355,1,2178,72.6
358,1,2235,74.5
360,1,2255,75.17
359,1,2255,75.17
361,1,2263,75.43
362,1,2269,75.63
363,1,2280,76.0
364,1,2287,76.23
365,1,2289,76.3
366,1,2301,76.7
367,1,2307,76.9
368,1,2316,77.2
369,1,2318,77.27
370,1,2333,77.77
